fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category_enc,investment_type_Growth,investment_type_Unknown,investment_type_Value,size_type_Medium,size_type_Small,size_type_Unknown,morningstar_risk_rating
15.0,1.12,13.68,9.0,1.12,11.31,9.35,87.22,4.0,-0.17797,113,False,False,True,False,False,False,3
45.0,0.71,15.82,9.0,0.76,14.41,14.16,65.55,13.0,0.07306,32,False,False,False,False,False,False,2
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,92,False,False,False,False,False,False,3
43.0,1.03,20.21,33.0,1.03,16.66,15.8,88.36,15.0,-0.11197,44,True,False,False,False,False,False,4
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,59.0,-0.16424,92,False,False,False,False,False,False,3
23.0,1.37,15.74,45.0,1.37,12.65,11.8,98.25,64.0,-0.18345,3,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,78.0,-0.16424,92,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,92,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,59.0,-0.16424,92,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,66.0,-0.16424,93,False,False,False,False,False,False,3
15.0,1.67,19.32,17.0,1.66,15.59,13.17,95.91,47.0,-0.22343,90,False,False,False,False,False,False,5
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,79.0,-0.16424,93,False,False,False,False,False,False,3
18.0,1.12,13.62,10.0,1.11,11.26,9.33,87.03,5.0,-0.17898,113,False,False,True,False,False,False,3
16.0,1.12,13.63,10.0,1.11,11.26,9.33,87.01,4.0,-0.1785,113,False,False,True,False,False,False,3
31.0,1.38,15.8,60.0,1.37,12.69,11.79,98.16,72.0,-0.18539,3,False,False,False,False,False,False,3
15.0,1.12,13.67,9.0,1.12,11.3,9.35,87.29,4.0,-0.17759,113,False,False,True,False,False,False,3
49.0,0.63,7.15,20.0,0.64,5.88,5.87,98.14,74.0,-0.07768,91,False,False,True,False,False,False,3
23.0,1.38,15.77,44.0,1.37,12.67,11.82,98.33,63.0,-0.18283,3,False,False,False,False,False,False,3
15.0,1.12,13.64,9.0,1.12,11.27,9.33,87.18,4.0,-0.17742,113,False,False,True,False,False,False,3
15.0,1.12,13.66,9.0,1.12,11.29,9.34,87.08,4.0,-0.17797,113,False,False,True,False,False,False,3
9.0,1.12,13.63,3.0,1.12,11.22,9.28,87.33,46.0,-0.17742,113,False,False,True,False,False,False,3
87.0,0.87,10.0,80.0,0.88,8.13,7.47,97.14,84.0,-0.10479,2,False,False,False,False,False,False,1
63.0,1.07,12.43,53.0,1.07,10.0,8.92,97.6,59.0,-0.13384,2,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,79.0,-0.16424,93,False,False,False,False,False,False,3
11.0,1.09,12.56,14.0,1.06,9.94,9.56,96.44,17.0,-0.17129,1,False,False,False,False,False,False,5
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,93,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,67.0,-0.16424,93,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,94,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,94,False,False,False,False,False,False,3
50.0,0.94,3.38,29.0,0.95,3.16,2.8,94.41,76.0,0.02171,39,False,True,False,False,False,True,2
11.0,1.28,15.19,10.0,1.26,12.3,10.55,92.49,77.0,-0.19592,2,False,False,True,False,False,False,4
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,77.0,-0.16424,94,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,84.0,-0.16424,94,False,False,False,False,False,False,3
54.0,0.7,7.94,20.0,0.7,6.48,6.56,98.27,84.0,-0.08769,92,False,False,True,False,False,False,2
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,71.0,-0.16424,94,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,95,False,False,False,False,False,False,3
51.0,1.01,16.41,94.0,1.01,13.51,13.17,87.57,68.0,-0.16424,113,False,True,False,False,False,True,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,95,False,False,False,False,False,False,3
90.0,0.87,10.05,87.0,0.88,8.17,7.49,97.14,87.0,-0.10758,2,False,False,False,False,False,False,1
36.0,0.84,9.65,47.0,0.84,7.76,6.91,97.52,78.0,-0.10967,1,False,False,False,False,False,False,3
21.0,0.84,9.64,30.0,0.84,7.77,6.93,97.91,39.0,-0.10584,1,False,False,False,False,False,False,3
93.0,0.62,16.82,59.0,0.66,14.9,18.39,41.38,87.0,-0.0833,6,False,False,False,False,False,False,2
22.0,0.85,9.74,32.0,0.85,7.84,7.0,97.96,43.0,-0.10747,1,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,91.0,-0.16424,95,False,False,False,False,False,False,3
15.0,1.46,29.48,32.0,1.42,23.48,19.58,84.42,24.0,-0.39926,55,False,False,True,True,False,False,5
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,82.0,-0.16424,95,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,90.0,-0.16424,96,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,96,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,91.0,-0.16424,96,False,False,False,False,False,False,3
71.0,1.34,16.44,89.0,1.3,13.25,13.17,85.79,99.0,-0.16695,3,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,92.0,-0.16424,96,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,96,False,False,False,False,False,False,3
29.0,0.84,9.69,41.0,0.84,7.82,6.96,97.89,69.0,-0.10806,1,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,92.0,-0.16424,97,False,False,False,False,False,False,3
66.0,0.74,8.39,38.0,0.74,6.87,7.29,98.54,83.0,-0.08951,93,False,False,False,False,False,False,2
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,89.0,-0.16424,97,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,97,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,97,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,89.0,-0.16424,97,False,False,False,False,False,False,3
44.0,1.35,15.46,79.0,1.33,12.34,11.24,98.21,78.0,-0.20583,3,False,False,False,True,False,False,3
10.0,1.29,15.19,10.0,1.26,12.3,10.55,92.57,76.0,-0.19595,2,False,False,True,False,False,False,4
51.0,1.35,15.44,88.0,1.33,12.33,11.24,98.23,81.0,-0.20716,3,False,False,False,True,False,False,3
17.0,1.17,22.98,22.0,1.16,18.61,16.3,89.46,36.0,-0.30168,45,False,False,True,False,False,False,4
94.0,0.99,19.55,78.0,0.97,15.82,13.17,87.87,95.0,-0.27189,53,False,False,False,True,False,False,2
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,98,False,False,False,False,False,False,3
37.0,1.35,15.42,76.0,1.33,12.31,11.23,98.26,73.0,-0.20442,3,False,False,False,True,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,98,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,99,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,85.0,-0.16424,99,False,False,False,False,False,False,3
45.0,1.35,15.43,81.0,1.33,12.32,11.24,98.26,80.0,-0.20571,3,False,False,False,True,False,False,3
69.0,0.86,9.89,57.0,0.88,8.09,8.73,98.42,84.0,-0.10306,94,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,83.0,-0.16424,99,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,82.0,-0.16424,100,False,False,False,False,False,False,3
40.0,1.35,15.43,77.0,1.33,12.31,11.23,98.24,76.0,-0.20457,3,False,False,False,True,False,False,3
51.0,1.01,16.41,96.0,1.01,13.51,13.17,87.57,74.0,-0.16424,113,False,True,False,False,False,True,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,77.0,-0.16424,100,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,101,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,101,False,False,False,False,False,False,3
