fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category,investment_type,size_type,morningstar_risk_rating
15.0,1.12,13.68,9.0,1.12,11.31,9.35,87.22,4.0,-0.17797,World Allocation,Value,Large,3.0
45.0,0.71,15.82,9.0,0.76,14.41,14.16,65.55,13.0,0.07306,Health,Blend,Large,2.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,Target-Date 2015,Blend,Large,3.0
43.0,1.03,20.21,33.0,1.03,16.66,15.8,88.36,15.0,-0.11197,Large Growth,Growth,Large,4.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,59.0,-0.16424,Target-Date 2015,Blend,Large,3.0
23.0,1.37,15.74,45.0,1.37,12.65,11.8,98.25,64.0,-0.18345,Allocation--70% to 85% Equity,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,78.0,-0.16424,Target-Date 2015,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,Target-Date 2015,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,59.0,-0.16424,Target-Date 2015,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,66.0,-0.16424,Target-Date 2020,Blend,Large,3.0
15.0,1.67,19.32,17.0,1.66,15.59,13.17,95.91,47.0,-0.22343,Tactical Allocation,Blend,Large,5.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,79.0,-0.16424,Target-Date 2020,Blend,Large,3.0
18.0,1.12,13.62,10.0,1.11,11.26,9.33,87.03,5.0,-0.17898,World Allocation,Value,Large,3.0
16.0,1.12,13.63,10.0,1.11,11.26,9.33,87.01,4.0,-0.1785,World Allocation,Value,Large,3.0
31.0,1.38,15.8,60.0,1.37,12.69,11.79,98.16,72.0,-0.18539,Allocation--70% to 85% Equity,Blend,Large,3.0
15.0,1.12,13.67,9.0,1.12,11.3,9.35,87.29,4.0,-0.17759,World Allocation,Value,Large,3.0
49.0,0.63,7.15,20.0,0.64,5.88,5.87,98.14,74.0,-0.07768,Target-Date 2000-2010,Value,Large,3.0
23.0,1.38,15.77,44.0,1.37,12.67,11.82,98.33,63.0,-0.18283,Allocation--70% to 85% Equity,Blend,Large,3.0
15.0,1.12,13.64,9.0,1.12,11.27,9.33,87.18,4.0,-0.17742,World Allocation,Value,Large,3.0
15.0,1.12,13.66,9.0,1.12,11.29,9.34,87.08,4.0,-0.17797,World Allocation,Value,Large,3.0
9.0,1.12,13.63,3.0,1.12,11.22,9.28,87.33,46.0,-0.17742,World Allocation,Value,Large,3.0
87.0,0.87,10.0,80.0,0.88,8.13,7.47,97.14,84.0,-0.10479,Allocation--50% to 70% Equity,Blend,Large,1.0
63.0,1.07,12.43,53.0,1.07,10.0,8.92,97.6,59.0,-0.13384,Allocation--50% to 70% Equity,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,79.0,-0.16424,Target-Date 2020,Blend,Large,3.0
11.0,1.09,12.56,14.0,1.06,9.94,9.56,96.44,17.0,-0.17129,Allocation--30% to 50% Equity,Blend,Large,5.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,Target-Date 2020,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,67.0,-0.16424,Target-Date 2020,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,Target-Date 2025,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,70.0,-0.16424,Target-Date 2025,Blend,Large,3.0
50.0,0.94,3.38,29.0,0.95,3.16,2.8,94.41,76.0,0.02171,Intermediate Core Bond,Unknown,Unknown,2.0
11.0,1.28,15.19,10.0,1.26,12.3,10.55,92.49,77.0,-0.19592,Allocation--50% to 70% Equity,Value,Large,4.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,77.0,-0.16424,Target-Date 2025,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,84.0,-0.16424,Target-Date 2025,Blend,Large,3.0
54.0,0.7,7.94,20.0,0.7,6.48,6.56,98.27,84.0,-0.08769,Target-Date 2015,Value,Large,2.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,71.0,-0.16424,Target-Date 2025,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,Target-Date 2030,Blend,Large,3.0
51.0,1.01,16.41,94.0,1.01,13.51,13.17,87.57,68.0,-0.16424,World Allocation,Unknown,Unknown,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,Target-Date 2030,Blend,Large,3.0
90.0,0.87,10.05,87.0,0.88,8.17,7.49,97.14,87.0,-0.10758,Allocation--50% to 70% Equity,Blend,Large,1.0
36.0,0.84,9.65,47.0,0.84,7.76,6.91,97.52,78.0,-0.10967,Allocation--30% to 50% Equity,Blend,Large,3.0
21.0,0.84,9.64,30.0,0.84,7.77,6.93,97.91,39.0,-0.10584,Allocation--30% to 50% Equity,Blend,Large,3.0
93.0,0.62,16.82,59.0,0.66,14.9,18.39,41.38,87.0,-0.0833,China Region,Blend,Large,2.0
22.0,0.85,9.74,32.0,0.85,7.84,7.0,97.96,43.0,-0.10747,Allocation--30% to 50% Equity,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,91.0,-0.16424,Target-Date 2030,Blend,Large,3.0
15.0,1.46,29.48,32.0,1.42,23.48,19.58,84.42,24.0,-0.39926,Mid-Cap Value,Value,Medium,5.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,82.0,-0.16424,Target-Date 2030,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,90.0,-0.16424,Target-Date 2035,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,Target-Date 2035,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,91.0,-0.16424,Target-Date 2035,Blend,Large,3.0
71.0,1.34,16.44,89.0,1.3,13.25,13.17,85.79,99.0,-0.16695,Allocation--70% to 85% Equity,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,92.0,-0.16424,Target-Date 2035,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,Target-Date 2035,Blend,Large,3.0
29.0,0.84,9.69,41.0,0.84,7.82,6.96,97.89,69.0,-0.10806,Allocation--30% to 50% Equity,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,92.0,-0.16424,Target-Date 2040,Blend,Large,3.0
66.0,0.74,8.39,38.0,0.74,6.87,7.29,98.54,83.0,-0.08951,Target-Date 2020,Blend,Large,2.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,89.0,-0.16424,Target-Date 2040,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,Target-Date 2040,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,Target-Date 2040,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,89.0,-0.16424,Target-Date 2040,Blend,Large,3.0
44.0,1.35,15.46,79.0,1.33,12.34,11.24,98.21,78.0,-0.20583,Allocation--70% to 85% Equity,Blend,Medium,3.0
10.0,1.29,15.19,10.0,1.26,12.3,10.55,92.57,76.0,-0.19595,Allocation--50% to 70% Equity,Value,Large,4.0
51.0,1.35,15.44,88.0,1.33,12.33,11.24,98.23,81.0,-0.20716,Allocation--70% to 85% Equity,Blend,Medium,3.0
17.0,1.17,22.98,22.0,1.16,18.61,16.3,89.46,36.0,-0.30168,Large Value,Value,Large,4.0
94.0,0.99,19.55,78.0,0.97,15.82,13.17,87.87,95.0,-0.27189,Mid-Cap Blend,Blend,Medium,2.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,Target-Date 2045,Blend,Large,3.0
37.0,1.35,15.42,76.0,1.33,12.31,11.23,98.26,73.0,-0.20442,Allocation--70% to 85% Equity,Blend,Medium,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,Target-Date 2045,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,88.0,-0.16424,Target-Date 2050,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,85.0,-0.16424,Target-Date 2050,Blend,Large,3.0
45.0,1.35,15.43,81.0,1.33,12.32,11.24,98.26,80.0,-0.20571,Allocation--70% to 85% Equity,Blend,Medium,3.0
69.0,0.86,9.89,57.0,0.88,8.09,8.73,98.42,84.0,-0.10306,Target-Date 2025,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,83.0,-0.16424,Target-Date 2050,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,82.0,-0.16424,Target-Date 2055,Blend,Large,3.0
40.0,1.35,15.43,77.0,1.33,12.31,11.23,98.24,76.0,-0.20457,Allocation--70% to 85% Equity,Blend,Medium,3.0
51.0,1.01,16.41,96.0,1.01,13.51,13.17,87.57,74.0,-0.16424,World Allocation,Unknown,Unknown,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,77.0,-0.16424,Target-Date 2055,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,Target-Date 2060+,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,81.0,-0.16424,Target-Date 2060+,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,Target-Date 2060+,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,87.0,-0.16424,Target-Date 2060+,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,77.0,-0.16424,Target-Date 2060+,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,85.0,-0.16424,Unknown,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,91.0,-0.16424,Unknown,Blend,Large,3.0
20.0,1.03,20.37,39.0,1.04,17.39,17.9,79.11,15.0,-0.20119,Diversified Emerging Mkts,Growth,Large,3.0
99.0,0.89,3.22,93.0,1.01,13.51,13.17,92.31,66.0,0.03253,Multisector Bond,Unknown,Unknown,1.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,90.0,-0.16424,Unknown,Blend,Large,3.0
41.0,1.23,22.47,77.0,1.18,18.07,16.92,92.92,86.0,-0.29924,Foreign Large Value,Blend,Large,4.0
37.0,1.35,15.47,76.0,1.33,12.35,11.25,98.27,73.0,-0.20505,Allocation--70% to 85% Equity,Blend,Medium,3.0
68.0,1.03,11.74,64.0,1.04,9.59,9.98,98.6,81.0,-0.12665,Target-Date 2030,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,Unknown,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,85.0,-0.16424,Unknown,Blend,Large,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,Target-Date 2030,Blend,Large,3.0
49.0,1.24,14.16,57.0,1.24,11.49,11.11,98.52,54.0,-0.15663,Target-Date 2035,Blend,Large,3.0
8.0,1.05,21.98,60.0,1.05,18.18,16.55,78.74,30.0,-0.09003,Large Growth,Growth,Large,4.0
19.0,1.17,22.95,23.0,1.16,18.59,16.3,89.45,38.0,-0.3018,Large Value,Value,Large,4.0
100.0,0.75,3.37,85.0,0.63,2.85,13.17,77.84,92.0,-0.02833,High Yield Muni,Value,Small,1.0
80.0,1.36,15.53,85.0,1.36,12.56,11.8,98.53,59.0,-0.17383,Target-Date 2045,Blend,Large,2.0
67.0,0.5,2.28,68.0,0.53,2.12,2.12,59.17,12.0,-0.00281,Short-Term Bond,Unknown,Unknown,4.0
40.0,1.23,22.47,76.0,1.18,18.07,16.92,92.98,85.0,-0.29957,Foreign Large Value,Blend,Large,4.0
1.0,0.76,10.32,1.0,0.84,8.26,6.42,6.35,1.0,-0.14674,Intermediate Core-Plus Bond,Value,Medium,5.0
74.0,0.51,5.8,74.0,0.49,4.59,3.81,9.02,67.0,-0.07868,Multisector Bond,Blend,Medium,2.0
44.0,1.23,22.44,80.0,1.18,18.04,16.91,92.94,87.0,-0.29984,Foreign Large Value,Blend,Large,4.0
46.0,1.23,22.47,81.0,1.18,18.07,16.91,92.91,87.0,-0.30053,Foreign Large Value,Blend,Large,4.0
